Actions of St Eloi Craters;Douglas Haig;Edwin Alderson
Actions of St Eloi Craters;Erich von Falkenhayn;Hugo von Wasielewski
Actions of the Hohenzollern Redoubt;John French, 1st Earl of Ypres;Ferdinand Foch
Actions of the Hohenzollern Redoubt;John French, 1st Earl of Ypres;George Thesiger
Actions of the Hohenzollern Redoubt;Ferdinand Foch;George Thesiger
Actions of the Hohenzollern Redoubt;Erich von Falkenhayn;Crown Prince Rupprecht of Bavaria
Actions of the Hohenzollern Redoubt;Erich von Falkenhayn;General Kuntze
Actions of the Hohenzollern Redoubt;Crown Prince Rupprecht of Bavaria;General Kuntze
Action off Lerwick;Charles Fox (lieutenant commander);Edward Brooke
Action off Lerwick;Max Leonhardi;Siegfried Westerkamp
Action of 11–12 December 1917;Reinhard Scheer;Paul Heinrich
Action of 11–12 December 1917;J. R. C. Cavendish;Vincent Molteno
Action of 14__15 February 1918;Roger Keyes;A. E. Berry
Action of 14__15 February 1918;Ludwig von Schröder;Oskar Heinecke
Action of 15 August 1917;Thomas Crisp;William “Johnsey” Manning
Action of 17 November 1917;Frank Berrien;Arthur S. Carpender
Action of 19 August 1916;John Jellicoe;David Beatty
Action of 19 August 1916;Reinhard Scheer;Franz von Hipper
Action of 22 August 1917;Douglas Haig;Hubert Gough
Action of 22 August 1917;Crown Prince Rupprecht of Bavaria;Friedrich Sixt von Armin
Action of 22 September 1914;John Drummond;Wilmot Nicholson
Action of 22 September 1914;John Drummond;Robert Johnson
Action of 22 September 1914;Wilmot Nicholson;Robert Johnson
Action of 8 June 1915;Gustav Klasing;Hans Fritsche von Crouenwald
Action of Agagia;William Peyton;Henry Lukin
Action of the Cockcroft;Douglas Haig;Hubert Gough
Action of the Cockcroft;Crown Prince Rupprecht of Bavaria;Friedrich Sixt von Armin
Affair of Agbeluvoe;H. B. Potter;H. S. Collins
Affair of Khra;Frederick Bryant;A. F. Redfern
Affair of Khra;Frederick Bryant;H. S. Collins
Affair of Khra;Frederick Bryant;R. Castaing
Affair of Khra;A. F. Redfern;H. S. Collins
Affair of Khra;A. F. Redfern;R. Castaing
Affair of Khra;H. S. Collins;R. Castaing
