1916 uprising in Hilla;‘Ākif Beg;Muhammad ‘Ali al-Qazwini
Actions of 30 September – 4 October 1917;Crown Prince Rupprecht of Bavaria;Douglas Haig
Actions of St Eloi Craters;Douglas Haig;Erich von Falkenhayn
Actions of St Eloi Craters;Douglas Haig;Hugo von Wasielewski
Actions of St Eloi Craters;Edwin Alderson;Erich von Falkenhayn
Actions of St Eloi Craters;Edwin Alderson;Hugo von Wasielewski
Actions of the Bluff-- 1916;Erich von Falkenhayn;Douglas Haig
Actions of the Bluff-- 1916;Erich von Falkenhayn;Douglas Haig
Actions of the Hohenzollern Redoubt;John French, 1st Earl of Ypres;Erich von Falkenhayn
Actions of the Hohenzollern Redoubt;John French, 1st Earl of Ypres;Crown Prince Rupprecht of Bavaria
Actions of the Hohenzollern Redoubt;John French, 1st Earl of Ypres;General Kuntze
Actions of the Hohenzollern Redoubt;Ferdinand Foch;Erich von Falkenhayn
Actions of the Hohenzollern Redoubt;Ferdinand Foch;Crown Prince Rupprecht of Bavaria
Actions of the Hohenzollern Redoubt;Ferdinand Foch;General Kuntze
Actions of the Hohenzollern Redoubt;George Thesiger;Erich von Falkenhayn
Actions of the Hohenzollern Redoubt;George Thesiger;Crown Prince Rupprecht of Bavaria
Actions of the Hohenzollern Redoubt;George Thesiger;General Kuntze
Action off Lerwick;Charles Fox (lieutenant commander);Max Leonhardi
Action off Lerwick;Charles Fox (lieutenant commander);Siegfried Westerkamp
Action off Lerwick;Edward Brooke;Max Leonhardi
Action off Lerwick;Edward Brooke;Siegfried Westerkamp
Action off Noordhinder Bank;James Henry Domville;Hermann Schoemann
Action of 10 March 1917;Nikolaus zu Dohna-Schlodien;Archibald Bisset Smith
Action of 10 May 1915;Andrei Eberhardt;Richard Ackermann
Action of 11–12 December 1917;Reinhard Scheer;J. R. C. Cavendish
Action of 11–12 December 1917;Reinhard Scheer;Vincent Molteno
Action of 11–12 December 1917;Paul Heinrich;J. R. C. Cavendish
Action of 11–12 December 1917;Paul Heinrich;Vincent Molteno
Action of 14 October 1918;Carvalho Araújo;Lothar von Arnauld de la Perière
Action of 14__15 February 1918;Roger Keyes;Ludwig von Schröder
Action of 14__15 February 1918;Roger Keyes;Oskar Heinecke
Action of 14__15 February 1918;A. E. Berry;Ludwig von Schröder
Action of 14__15 February 1918;A. E. Berry;Oskar Heinecke
Action of 15 August 1917;Thomas Crisp;Karsten von Heydebreck
Action of 15 August 1917;William “Johnsey” Manning;Karsten von Heydebreck
Action of 15 October 1917;Walter N. Vernou;Victor Dieckmann
Action of 16 March 1917;Francis Martin-Leake;Hans von Laffert
Action of 17 November 1917;Frank Berrien;Gustav Amberger
Action of 17 November 1917;Arthur S. Carpender;Gustav Amberger
Action of 19 August 1916;John Jellicoe;Reinhard Scheer
Action of 19 August 1916;John Jellicoe;Franz von Hipper
Action of 19 August 1916;David Beatty;Reinhard Scheer
Action of 19 August 1916;David Beatty;Franz von Hipper
Action of 22 August 1917;Douglas Haig;Crown Prince Rupprecht of Bavaria
Action of 22 August 1917;Douglas Haig;Friedrich Sixt von Armin
