number,title,pageid,namespace,length,touched
1,Battle_of_Jutland,4563,,146124,20260411103044
2,Baralong_incidents,4794,,20623,20260411020924
3,Battle_of_Passchendaele,44454,,118608,20260409232138
4,Battle_of_Verdun,51497,,123761,20260330030356
5,Battle_of_Tannenberg,60142,,57897,20260411234811
6,Battle_of_the_Somme,60921,,92900,20260401155129
7,Battle_of_Vimy_Ridge,70435,,83032,20260305024256
8,Battle_of_Cambrai_(1917),142296,,34655,20260306105033
9,Second_Battle_of_the_Marne,157133,,18107,20260410051432
10,First_Battle_of_the_Marne,171325,,59527,20260323201529
11,Battle_of_Coronel,191166,,30599,20260406105147
12,Battle_of_the_Falkland_Islands,191388,,27061,20260326213016
13,Battle_of_Heligoland_Bight_(1914),193227,,31023,20250907091138
14,Battle_of_Dogger_Bank_(1915),193233,,39366,20260124210624
15,Battle_of_Valmy,200249,,25781,20260330113329
16,Siege_of_Kut,204525,,31674,20260411010926
17,Gallipoli_campaign,214109,,166044,20260408022043
18,Battle_of_the_Ardennes,254354,,25975,20251124081102
19,Meuse–Argonne_offensive,288361,,37306,20260410051651
20,Battle_of_Stallupönen,301910,,10750,20251119222443
21,Brusilov_offensive,342327,,43656,20260324095317
22,South_West_Africa_campaign,347721,,21028,20260313060153
23,Battle_of_Romani,401909,,109999,20251119223354
24,Battle_of_Łódź_(1914),403127,,33451,20260124104639
25,Battle_of_the_Nek,406541,,42755,20251109221048
26,Battle_of_Magdhaba,411607,,52032,20260107171041
27,Battle_of_Lone_Pine,417324,,43204,20250908192652
28,Siege_of_Antwerp_(1914),418550,,55469,20260304135932
29,Battle_of_Sari_Bair,422230,,23384,20250801091902
30,Battle_of_Hill_60_(Gallipoli),427025,,16187,20250801091914
31,Battle_of_Scimitar_Hill,432483,,9460,20251011041241
32,Battle_of_Chunuk_Bair,436118,,30336,20260118215611
33,First_Battle_of_Krithia,444867,,7422,20260203162127
34,Second_Battle_of_Krithia,445341,,13715,20260205112459
35,Third_Battle_of_Krithia,447230,,12435,20260227005537
36,Battle_of_Gully_Ravine,447241,,14465,20260227005127
37,Battle_of_Rafa,458210,,39096,20251119223352
38,First_Battle_of_Gaza,458227,,105246,20251129212355
39,Capture_of_Hill_60_(Western_Front),474199,,34644,20250523210154
40,Battle_of_Beersheba_(1917),487953,,140755,20260315112656
41,Second_Battle_of_Gaza,496617,,81466,20260202122620
42,Battle_of_Krithia_Vineyard,498360,,6586,20250526141018
43,Third_Battle_of_Gaza,501628,,69346,20260101143825
44,German_spring_offensive,502983,,39624,20251114100451
45,Battle_of_Caporetto,503655,,29720,20260325091146
46,Battle_of_Saint-Mihiel,520522,,30306,20260211224415
47,Landing_at_Anzac_Cove,525407,,79980,20260124140426
48,Battle_of_Loos,545414,,61881,20260306230908
49,First_Battle_of_Ypres,545476,,68668,20260410001457
50,Battle_of_the_Yser,555260,,29327,20260409234231
51,Second_Battle_of_Ypres,560821,,43665,20260406171227
52,Battle_of_Belleau_Wood,616826,,42229,20260113040616
53,Battle_of_Hamel,617583,,47405,20260314140149
54,Battle_of_Mons,630014,,57152,20260325190621
55,Battle_of_Megiddo_(1918),636036,,59969,20260206132114
56,Landing_at_Cape_Helles,651853,,81758,20260312163750
57,Battle_of_Tanga,781097,,13310,20250903214109
58,Naval_operations_in_the_Dardanelles_campaign,841907,,59284,20260227004058
59,Battle_of_Liège,888238,,52768,20260320024057
60,Battle_of_Amiens_(1918),891547,,38638,20251216220259
61,Battle_of_Château-Thierry_(1918),899469,,20531,20251213144827
62,Bloody_April,908889,,21445,20260331174957
63,Battle_of_Arras_(1917),993445,,76718,20260409063329
64,First_day_on_the_Somme,1026131,,130906,20260306230913
65,Sinai_and_Palestine_campaign,1027093,,177457,20260404142022
66,Battle_of_Bazentin_Ridge,1114225,,96697,20251108045431
67,Fighting_for_Mouquet_Farm,1125677,,11340,20251109104008
68,Hawthorn_Ridge_Redoubt,1159257,,32298,20251113015841
69,Lochnagar_mine,1160120,,31823,20251111042852
70,Second_Battle_of_Heligoland_Bight,1170111,,23159,20260402203327
71,Attacks_on_High_Wood,1228125,,49229,20251211215601
72,Battle_of_Delville_Wood,1254837,,99597,20251108045752
73,Battle_of_Pozières,1298503,,28123,20251021172931
74,Battle_of_Guillemont,1308994,,121483,20260211225537
75,Battle_of_Ginchy,1309050,,54665,20251211213523
76,Battle_of_Flers–Courcelette,1310170,,145309,20260116132516
77,Battle_of_Morval,1310199,,55276,20251108105431
78,Battle_of_Thiepval_Ridge,1310248,,48239,20251223152011
79,Battle_of_Le_Transloy,1310315,,132007,20251229021636
80,Battle_of_the_Ancre_Heights,1310350,,67360,20260316213506
81,Battle_of_the_Ancre,1310819,,72915,20251101100156
82,Hundred_Days_Offensive,1328501,,27765,20260303031840
83,Attack_at_Fromelles,1339242,,56736,20260213152614
84,Battle_of_Dover_Strait_(1917),1341108,,9788,20251218152548
85,Attacks_on_the_Butte_de_Warlencourt,1402889,,51220,20260320070439
86,Battle_of_Jassin,1405348,,6186,20260221013417
87,Battle_of_San_Matteo,1414793,,5537,20260408145213
88,Second_Battle_of_the_Masurian_Lakes,1439685,,27320,20260111022733
89,Siege_of_Przemyśl,1442031,,19098,20260410231612
90,Second_Battle_of_the_Piave_River,1449530,,22008,20251210110719
91,Battle_of_Jerusalem,1458699,,96670,20260301105941
92,Battle_of_the_Lys_(1918),1481874,,22623,20260325100125
93,Battle_of_Cer,1614762,,32680,20260123163641
94,Battle_of_the_Sambre_(1918),1625999,,6276,20250831142934
95,Battle_of_Albert_(1916),1646026,,144744,20260110010707
96,Battle_of_the_Frontiers,1654229,,61726,20260312125603
97,Pursuit_of_Goeben_and_Breslau,1654722,,28243,20251228040927
98,Battle_of_Galicia,1671552,,19979,20251126170234
99,Battle_of_Cocos,1687523,,41351,20260216002952
100,Landing_at_Suvla_Bay,1690663,,27864,20250911194917
101,Battle_of_the_Vistula_River,1697219,,35061,20260225014849
102,Battle_of_Sarikamish,1698056,,66159,20260218225329
103,Erzurum_offensive,1698728,,14936,20260317234402
104,Battle_of_Sardarabad,1828183,,64054,20260328014749
105,Battle_of_Kolubara,2167279,,42362,20260325235218
106,Battle_of_Le_Cateau,2410017,,17001,20250331203424
107,Battle_of_St._Quentin_(1914),2426598,,9356,20251106104224
108,Second_Battle_of_Artois,2430828,,128836,20251111010820
109,Third_Battle_of_Artois,2430907,,12377,20251108041702
110,Naval_warfare_of_World_War_I,2442148,,43822,20260319210808
111,Battle_of_Ctesiphon_(1915),2468341,,15556,20260120213101
112,Mesopotamian_campaign,2468543,,55030,20260209181131
113,Fall_of_Baghdad_(1917),2475767,,10097,20251101201937
114,Siege_of_Tsingtao,2500090,,30479,20260225024328
115,First_Battle_of_Artois,2574020,,6186,20260124104503
116,Battle_of_Mulhouse,2629113,,31060,20250523220006
117,Siege_of_Maubeuge,2654397,,46157,20260208225659
118,Great_Retreat,2658864,,36140,20251024181228
119,Second_Battle_of_the_Somme,2659661,,11852,20250805023709
120,First_Battle_of_the_Aisne,2665319,,16214,20250901043911
121,Ice_Cruise_of_the_Baltic_Fleet,2684542,,6473,20250313001650
122,Second_Battle_of_the_Aisne,2791272,,53081,20251209222828
123,Nivelle_offensive,2792534,,43010,20260412012937
124,Third_Battle_of_the_Aisne,2822664,,10006,20251124211200
125,Zeebrugge_Raid,2854265,,43772,20260226045057
126,Gas_attacks_at_Hulluch,2854698,,23492,20260211172806
127,Battle_of_Messines_(1917),2884358,,105351,20260209073059
128,Battle_of_Mojkovac,2937321,,8477,20251122204447
129,Battle_of_Vittorio_Veneto,3011689,,33502,20260306110614
